,No.overall,Directed by,No. inseason,date,Prod.code,episode,Viewers_millions,Written and storyboarded by
119,120,Joe Johnston (supervising)Ricky Cometa (art),17,2017-02-17,1040-124,"""Storm in the Room""",1.02,Colin Howard and Jeff Liu
120,121,Kat Morris (supervising)Ricky Cometa (art),18,2017-02-24,1040-122,"""Rocknaldo""",1.1,Hilary Florido and Jesse Zuke
121,122,Joe Johnston (supervising)Ricky Cometa (art),19,2017-03-03,1040-123,"""Tiger Philanthropist""",0.9,Lamar Abrams and Katie Mitroff
122,123,Kat Morris (supervising)Ricky Cometa (art),20,2017-03-10,1040-125,"""Room for Ruby""",0.95,Raven M. Molisee and Jesse Zuke
123,124,Kat Morris (supervising)Elle Michalka (art),21,2017-05-08,1040-126,"""Lion 4: Alternate Ending""",1.01,Hilary Florido and Paul Villeco
124,125,Joe Johnston (supervising)Elle Michalka (art),22,2017-05-09,1040-127,"""Doug Out""",0.96,Lamar Abrams and Katie Mitroff
125,126,Joe Johnston (supervising)Elle Michalka (art),23,2017-05-10,1040-128,"""The Good Lars""",0.95,Colin Howard and Jeff Liu
126,127,Kat Morris (supervising)Elle Michalka (art),24,2017-05-11,1040-129,"""Are You My Dad?"" (Part 1)",1.14,Raven M. Molisee and Jesse Zuke
127,128,Kat Morris (supervising)Elle Michalka (art),25,2017-05-11,1040-130,"""I Am My Mom"" (Part 2)",1.14,Hilary Florido and Paul Villeco
128,129,Kat Morris (supervising)Liz Artinian (art),1,2017-05-29,,"""Stuck Together"" (Part 1)",1.53,Jesse Zuke
129,130,Joe Johnston (supervising)Liz Artinian (art),2,2017-05-29,,"""The Trial"" (Part 2)",1.53,Katie Mitroff and Paul Villeco
130,131,Joe Johnston (supervising)Liz Artinian (art),3,2017-05-29,,"""Off Colors"" (Part 3)",1.52,Lamar Abrams and Jeff Liu
131,132,Kat Morris (supervising)Liz Artinian (art),4,2017-05-29,,"""Lars' Head"" (Part 4)",1.52,Jeff Liu and Madeline Queripel
132,133,Joe Johnston (supervising)Liz Artinian (art),5,2017-12-15,,"""Dewey Wins""",0.85,Lamar Abrams and Jeff Liu
133,134,Kat Morris (supervising)Liz Artinian (art),6,2017-12-15,,"""Gemcation""",0.85,Madeline Queripel and Jesse Zuke
134,135,Kat Morris (supervising)Liz Artinian (art),7,2017-12-22,,"""Raising the Barn""",0.89,Amber Cragg and Hilary Florido
135,136,Joe Johnston (supervising)Liz Artinian (art),8,2017-12-22,,"""Back to the Kindergarten""",0.89,Katie Mitroff and Paul Villeco
136,137,Joe Johnston (supervising)Liz Artinian (art),9,2017-12-29,,"""Sadie Killer""",0.77,Lamar Abrams and Jeff Liu
137,138,Kat Morris (supervising)Liz Artinian (art),10,2017-12-29,,"""Kevin Party""",0.77,Amber Cragg and Hilary Florido
138,139,Kat Morris (supervising)Liz Artinian (art),11,2018-01-05,,"""Lars of the Stars"" (Part 1)",1.11,Lamar Abrams and Jesse Zuke
139,140,Joe Johnston (supervising)Liz Artinian (art),12,2018-01-05,,"""Jungle Moon"" (Part 2)",1.11,Miki Brewster and Jeff Liu
140,141,Joe Johnston (supervising)Liz Artinian (art),13,2018-04-09,,"""Your Mother and Mine""",0.77,Katie Mitroff and Paul Villeco
141,142,Kat Morris (supervising)Liz Artinian (art),14,2018-04-16,,"""The Big Show""",0.56,Hilary Florido and Amber Cragg
142,143,Joe Johnston (supervising)Liz Artinian (art),15,2018-04-23,,"""Pool Hopping""",0.54,"Katie Mitroff, Paul Villeco, and Joe Johnston"
143,144,Kat Morris (supervising)Liz Artinian (art),16,2018-04-30,,"""Letters to Lars""",0.4,Lamar Abrams and Colin Howard
144,145,Joe Johnston (supervising)Liz Artinian (art),17,2018-05-07,,"""Can't Go Back"" (Part 1)",0.74,Miki Brewster and Jeff Liu
145,146,Kat Morris (supervising)Liz Artinian (art),18,2018-05-07,,"""A Single Pale Rose"" (Part 2)",0.74,Amber Cragg and Hilary Florido
146,147,Kat Morris (supervising)Liz Artinian (art),19,2018-07-02,,"""Now We're Only Falling Apart""",0.84,Lamar Abrams and Christine Liu
147,148,Joe Johnston (supervising)Liz Artinian (art),20,2018-07-03,,"""What's Your Problem""",0.93,Katie Mitroff and Paul Villeco
148,149,Joe Johnston (supervising)Liz Artinian (art),21,2018-07-04,,"""The Question""",0.71,Miki Brewster and Jeff Liu
149,150,Kat Morris (supervising)Liz Artinian (art),22,2018-07-05,,"""Made of Honor""",0.83,Lamar Abrams and Christine Liu
150,151,Joe Johnston (supervising)Liz Artinian (art),23,2018-07-06,,"""Reunited (Part 1)""",0.97,"Miki Brewster, Jeff Liu, Katie Mitroff and Paul Villeco"
151,152,Joe Johnston and Liz Artinian,24,2018-07-06,,"""Reunited (Part 2)""",0.97,"Miki Brewster, Jeff Liu, Katie Mitroff, and Paul Villeco"
152,153,Kat Morris (supervising)Liz Artinian (art),25,2018-12-17,,"""Legs from Here to Homeworld""",0.63,"Amber Cragg, Hilary Florido, and Tom Herpich"
153,154,Kat Morris (supervising)Liz Artinian (art),26,2018-12-24,,"""Familiar""",0.74,"Amber Cragg, Hilary Florido, Tom Herpich, and Pen Ward"
154,155,Kat Morris (supervising)Liz Artinian (art),27,2018-12-31,,"""Together Alone""",0.65,"Lamar Abrams, Christine Liu, and Tom Herpich"
155,156,Joe Johnston (supervising)Liz Artinian (art),28,2019-01-07,,"""Escapism""",0.67,Joe Johnston and Adam Muto
156,157,Joe Johnston and Kat Morris (supervising)Liz Artinian (art),29,2019-01-21,,"""Change Your Mind (Part 1)""",0.99,"Lamar Abrams, Miki Brewster, Amber Cragg, Hilary Florido, Joe Johnston, Ian Jones-Quartey, Christine Liu, Jeff Liu, Katie Mitroff, Kat Morris, Rebecca Sugar, and Paul Villeco"
157,158,"Joe Johnston, Kat Morris, and Liz Artinian",30,2019-01-21,,"""Change Your Mind (Part 2)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
158,159,"Joe Johnston, Kat Morris, and Liz Artinian",31,2019-01-21,,"""Change Your Mind (Part 3)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
159,160,"Joe Johnston, Kat Morris, and Liz Artinian",32,2019-01-21,,"""Change Your Mind (Part 4)""",0.99,"Miki Brewster, Lamar Abrams, Amber Cragg, and Hillary Florido"
